child_id,age,gender,PA,RAN,Reading_Fluency,Tempo_Stability,Pausal_Intrusions,Melody_Error,Rhythm_Error
70,9.5,boy,38.0,60.0,42.0,1.75278014,1.172413793,13.41347113,12.45268556
71,9.0,boy,51.0,46.0,51.0,1.348170194,0.1034482759,15.3132313,10.92990595
72,9.0,boy,47.0,48.0,52.0,1.967172748,1.586206897,15.314521,12.11667415
73,10.0,boy,35.0,58.0,39.0,2.620412031,2.206896552,15.33649719,13.31152625
74,8.0,girl,47.0,41.0,49.0,2.024375897,1.448275862,13.40609789,13.30995695
75,9.0,boy,44.0,44.0,46.0,1.90201336,1.379310345,16.25256121,11.8022509
76,8.0,girl,48.0,54.0,50.0,1.593955625,0.9310344828,12.43962002,12.20872846
77,9.0,boy,35.0,39.0,38.0,3.139950662,3.482758621,16.77897425,14.29320772
78,8.5,girl,52.0,65.0,67.0,1.487634928,0.5862068966,12.90201253,10.88737986
79,9.0,girl,41.0,37.0,44.0,2.332534943,2.517241379,16.86610875,13.49312523
80,8.5,girl,52.0,43.0,38.0,2.294422744,1.620689655,16.51740567,12.57510977
82,9.0,boy,43.0,43.0,48.0,1.644883291,1.206896552,12.3438267,10.57114365
83,8.5,boy,60.0,76.0,63.0,1.625111873,0.8620689655,10.20231644,11.55392686
84,8.5,girl,37.0,52.0,51.0,1.995457062,1.172413793,12.80176739,12.23549729
85,8.5,girl,57.0,61.0,59.0,1.758526164,1.206896552,16.10625026,11.20328873
86,11.0,boy,33.0,50.0,45.0,2.388280999,0.0,15.81766855,11.8749245
87,9.0,boy,57.0,54.0,49.0,1.736400205,1.344827586,12.10647708,11.56187366
88,9.0,girl,33.0,50.0,35.0,2.677215201,2.793103448,16.40666572,13.01658095
89,9.0,girl,42.0,54.0,41.0,3.060386357,3.310344828,14.50334435,13.67827094
90,9.5,boy,47.0,55.0,36.0,2.460747609,3.0,14.80262608,13.91428958
91,9.0,boy,58.0,51.0,49.0,1.904058551,0.8275862069,12.67143751,12.56227223
92,9.5,girl,45.0,45.0,58.0,1.59430372,1.103448276,14.81226512,12.53440673
93,9.0,boy,43.0,40.0,33.0,3.456428844,2.172413793,16.65238416,12.30017113
94,9.5,boy,43.0,44.0,58.0,1.997598521,1.24137931,12.15003898,
95,8.5,boy,48.0,60.0,54.0,1.923243383,1.24137931,14.01381203,10.98471052
96,9.0,boy,35.0,50.0,51.0,1.403645817,0.3793103448,16.29930418,13.92968713
97,8.5,girl,44.0,55.0,48.0,2.072480852,1.310344828,12.65675024,13.57184711
98,9.5,girl,43.0,52.0,43.0,2.24345756,0.7586206897,15.06766258,12.51590281
99,8.5,boy,56.0,63.0,60.0,2.19748991,1.068965517,14.02703935,12.55639209
100,8.5,boy,59.0,47.0,44.0,1.787512974,0.6206896552,12.42363592,12.13134396
101,9.0,girl,39.0,42.0,50.0,1.902472405,0.1724137931,14.74771319,12.20890332
102,9.5,boy,45.0,57.0,51.0,1.666649785,1.137931034,12.17525354,12.37993344
103,9.0,boy,31.0,49.0,31.0,3.133596382,3.413793103,15.71303998,15.02263697
104,8.5,boy,44.0,43.0,27.0,3.709745634,3.862068966,15.98264622,14.05836082
105,9.0,girl,59.0,70.0,71.0,2.119297941,1.137931034,12.5149543,14.78853999
106,9.0,girl,41.0,44.0,49.0,1.694494148,-0.4482758621,15.87524671,13.4828528
107,8.5,boy,56.0,57.0,43.0,1.650745817,-0.06896551724,12.19544376,11.92076272
108,9.5,girl,27.0,39.0,38.0,3.018219146,2.896551724,14.92939402,13.79897966
109,9.0,girl,45.0,59.0,44.0,1.946076101,1.310344828,17.42600197,12.08009767
110,8.5,boy,39.0,47.0,45.0,2.483638155,2.620689655,14.89979754,13.5781859
112,8.5,girl,59.0,56.0,58.0,1.598897424,0.4482758621,14.02296408,11.81110273
113,8.0,boy,,,,1.786266054,1.275862069,15.17129281,11.9023646
114,8.5,boy,37.0,40.0,37.0,2.933934002,2.482758621,15.07369421,12.67980956
115,8.5,girl,58.0,54.0,58.0,1.428001683,0.724137931,12.49870582,11.05539188
116,9.5,boy,44.0,43.0,55.0,1.645970949,0.7586206897,9.66480217,12.46668892
118,9.5,boy,,,,2.021531827,0.8620689655,14.62013933,12.97268162
119,9.0,boy,49.0,54.0,51.0,1.707743122,0.7586206897,13.12345831,11.99583479
120,9.0,girl,43.0,35.0,40.0,2.574838391,2.586206897,15.82840458,13.55745921
121,9.5,boy,47.0,47.0,51.0,2.631470493,2.275862069,14.68378824,13.93485092
122,10.0,boy,49.0,60.0,51.0,1.835137313,0.9310344828,12.70864252,12.26592572
123,8.5,girl,50.0,61.0,64.0,1.590342617,1.068965517,12.89814042,11.3568266
124,8.5,girl,47.0,48.0,58.0,1.992290299,0.8965517241,12.20983591,12.88268527
126,9.5,boy,36.0,39.0,45.0,2.803762279,2.482758621,14.95652282,12.79544301
127,9.0,girl,55.0,57.0,67.0,1.66436503,0.3448275862,10.78581577,11.17400417
128,8.5,girl,52.0,50.0,57.0,1.385369735,0.8620689655,15.3189485,11.09027277
129,9.0,girl,64.0,59.0,55.0,1.692208595,0.1379310345,18.15755373,11.3291477
